Image Name, X_Start, Y_Start, Width, Height
037.jpeg, 177, 484, 309, 176
060.jpeg, 124, 198, 136, 88
021.jpeg, 74, 81, 54, 65
056.jpeg, 440, 271, 77, 60
001.jpeg, 133, 79, 59, 49
017.jpeg, 110, 95, 55, 54
040.jpeg, 35, 779, 15, 26
041.jpeg, 45, 49, 132, 108
016.jpeg, 66, 51, 53, 60
057.jpeg, 30, 60, 200, 84
020.jpeg, 50, 71, 82, 75
061.jpeg, 491, 237, 394, 162
036.jpeg, 171, 86, 302, 161
050.jpeg, 139, 74, 73, 87
007.jpeg, 110, 88, 62, 69
011.jpeg, 135, 99, 55, 58
046.jpeg, 147, 163, 136, 79
031.jpeg, 227, 181, 143, 98
066.jpeg, 71, 63, 111, 66
027.jpeg, 146, 90, 30, 38
026.jpeg, 87, 89, 88, 51
030.jpeg, 203, 198, 136, 90
047.jpeg, 447, 246, 445, 309
010.jpeg, 78, 73, 129, 86
006.jpeg, 42, 100, 58, 59
051.jpeg, 133, 79, 160, 119
029.jpeg, 98, 531, 213, 162
044.jpeg, 107, 112, 88, 74
013.jpeg, 126, 58, 39, 51
005.jpeg, 454, 256, 212, 204
052.jpeg, 69, 107, 391, 191
025.jpeg, 102, 90, 44, 38
064.jpeg, 101, 76, 110, 67
033.jpeg, 336, 786, 2386, 877
048.jpeg, 862, 568, 212, 160
009.jpeg, 80, 84, 44, 48
008.jpeg, 36, 47, 202, 111
049.jpeg, 211, 94, 217, 203
032.jpeg, 1404, 1221, 502, 726
065.jpeg, 73, 99, 94, 38
024.jpeg, 104, 59, 50, 34
053.jpeg, 137, 31, 115, 91
004.jpeg, 109, 78, 49, 50
012.jpeg, 205, 610, 300, 162
045.jpeg, 137, 226, 371, 250
028.jpeg, 59, 56, 185, 107
023.jpeg, 628, 505, 45, 51
062.jpeg, 862, 568, 212, 160
035.jpeg, 235, 175, 128, 189
019.jpeg, 121, 94, 46, 44
058.jpeg, 128, 39, 75, 74
039.jpeg, 48, 349, 896, 226
042.jpeg, 23, 77, 219, 183
015.jpeg, 83, 54, 52, 50
003.jpeg, 130, 54, 58, 86
054.jpeg, 612, 366, 184, 180
055.jpeg, 80, 19, 192, 303
002.jpeg, 92, 60, 109, 67
014.jpeg, 110, 81, 52, 54
043.jpeg, 69, 37, 69, 56
038.jpeg, 705, 499, 28, 52
059.jpeg, 68, 58, 133, 74
018.jpeg, 132, 36, 52, 50
034.jpeg, 130, 242, 329, 203
063.jpeg, 96, 87, 51, 42
022.jpeg, 136, 70, 71, 53
